price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
22400000.000000004,"Chembur, Mumbai - Harbour Line, Maharashtra",629.0,19.0327996,72.8963568,2.0,2.0,,Under Construction,New Property,,,2.0,,Flat,"


                                Right from Every amenity space is crafted keeping in mind the experience that it will deliver and thus planned with utmost care and perfection. acclaimed architects, interior designers, landscape planners and brands of significance and salience are brought into, to make it a masterpiece.
                            
more

",35612.08267090621
35000000.0,"Chembur, Mumbai - Harbour Line, Maharashtra",974.0,19.0327996,72.8963568,3.0,2.0,,Under Construction,New Property,,,2.0,,Flat,"


                                Right from Every amenity space is crafted keeping in mind the experience that it will deliver and thus planned with utmost care and perfection. acclaimed architects, interior designers, landscape planners and brands of significance and salience are brought into, to make it a masterpiece.
                            
more

",35934.29158110883
31700000.0,"Ghatkopar East, Mumbai - Central Line, Maharashtra",968.0,19.0856,72.909277,3.0,3.0,,Under Construction,New Property,1.0,,2.0,,Flat,"
                    
                    
                    
                       Terraform Dwarka has been appointed at a place from where reaching your daily destination is quick and easy. Station, office, mall, market. Reduce your travel and increase your happiness. Now let time fly,you take it easy.
                    
                ",32747.93388429752
18700000.0,"Plot Number 283, Road Number 3, Jawahar Nagar, Off S. V. Road, Goregaon (West), Mumbai, Maharashtra, India 400104, Goregaon West, Mumbai - North Mumbai, Maharashtra",629.0,19.155756,72.846862,2.0,2.0,2.0,Ready to Move,New Property,1.0,,3.0,Laxmi Callista,Flat,"


                                Welcome to Laxmi Callista, Meaning The Most beutiful. When all your life requirements are at your convenience. Life does appear beautiful.A penchant for a convenient and leisurely lifestyle is now in the offering, right from your everyday activities to your leisure life, everything placed at an enviously desirable location. Goregaons one of the premium residential Tower. Laxmi Callista embodiesstate of the art facade which is stretched over fourlevel podiums. Scaling up to 22 stories. It offers you intelligently designed spacious residences with all the modern amenities and easy connectivity
                            
more

",29729.72972972973
13500000.0,"malad east, Malad East, Mumbai - North Mumbai, Maharashtra",1090.0,19.177555,72.849887,2.0,2.0,,,New Property,1.0,Unfurnished,2.0,near uper govind nagar,Flat,"
                    
                    
                    
                       New tower pre launch NO floor rise for limited period Spacious 2 BHK flat on sale at the rate of Rs 1.45 Crore including All, More details call me.
                    
                ",12385.321100917432
13000000.0,"Bhandup, Mumbai, Bhandup, Mumbai - Central Line, Maharashtra",630.0,19.148058,72.937725,2.0,2.0,,,New Property,1.0,Unfurnished,2.0,LBS road bhandup west 7 min walking from station,Flat,"


                                Located at Bhandup West in Mumbai, by Srishti Group, is an amazing housing venture featuring luxurious apartments. Sristi Pride offers welldesigned apartments of 1 BHK and 2 BHK configurations of different unit sizes.All the basic facilities, along with open and closed car parking area, are available in this project for the residents to lead a serene lifestyle. The interior of Sristi Pride features latest specifications of topclass quality that adds a sleek and classy look to the apartments.Some of the leading hospitals, schools, bank branches, offices and shopping malls are located .
                            
more

",20634.920634920636
20700000.0,"Siddharth Nagar, Goregaon West, Mumbai, Goregaon West, Mumbai - North Mumbai, Maharashtra",1188.0,19.1549192106419,72.8435657622205,2.0,2.0,2.0,,New Property,1.0,Semi-Furnished,5.0,goregaon west,Flat,"


                                Ekta tripolis - 2 / 2 & half bhk / 3 bhk flat , Ekta tripolis as a new residential project explored by ekta group sets a lifestyle address situated on the outskirts of the city at mumbai. Stretching 36 storey’s into the rapidly transforming suburban skyline, The project offers a perfect combination of 2 and3 bhk luxury apartments of classic and platinum types. Comes as a posh area in the crowded city of mumbai, The project is exactly located at link road goregaon (W) of mumbai heading in close proximity to major points of the metropolis.
                            
more

",17424.242424242424
22900000.0,"Goregaon West, Mumbai, Best Nagar - Goregaon West, Mumbai - North Mumbai, Maharashtra",968.0,19.147269,72.848351,3.0,3.0,,,New Property,1.0,Unfurnished,6.0,Near Ram Mandir railway station goregaon west,Flat,"
                    
                    
                    
                       This is wonderful property located in near ODC goregaon west, the project is the biggest project which is happening. Its near Ram mandir Railway station.
                    
                ",23657.02479338843
17000000.0,"Wadala East, Mumbai, Wadala, Mumbai - Harbour Line, Maharashtra",820.0,19.0151285,72.8580644,2.0,2.0,,,New Property,1.0,Unfurnished,3.0,Dosti acres.,Flat,"


                                PreLaunch of Dosti Realty, Eastern Bay at Wadala East, Mumbai is an exquisite residential project in making. Absolute and spacious 2 and 3 bhk residences ensure to be luxuryoriented. Move into these apartments and experience your life getting evolves with its finest features. Theres everything for everyone, vast play area for kids, multipurpose sports court for sports enthusiasts, gym, 247 surveillance, water backup, joggingwalking track, etc, and many more upcoming.For more details and offers contact us.
                            
more

",20731.70731707317
81000000.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3260.0,19.001640226154105,72.826532,3.0,3.0,3.0,Ready to Move,Resale,3.0,,4.0,prime property,Flat,"
                    
                    
                    
                       best deal available on resale builder selling same unit at 10.5 cr
                    
                ",24846.625766871166
46000000.0,"near by nahur station, Mulund West, Mumbai - Central Line, Maharashtra",2500.0,19.157602,72.945243,4.0,4.0,2.0,,New Property,3.0,Unfurnished,4.0,near nahur station,Flat,"
                    
                    
                    
                       This is 4bhk unfurnished apartment with all modern amenities like swimming pool,club house, gym, garden etc in this complex .
                    
                ",18400.0
